group,team,fifa_code,fifa_rank,ranking_updated_at
A,Mexico,MEX,15,2026-06-06
A,South Africa,RSA,60,2026-06-06
A,Korea Republic,KOR,25,2026-06-06
A,Czechia,CZE,41,2026-06-06
B,Canada,CAN,30,2026-06-06
B,Bosnia and Herzegovina,BIH,65,2026-06-06
B,Qatar,QAT,55,2026-06-06
B,Switzerland,SUI,19,2026-06-06
C,Brazil,BRA,6,2026-06-06
C,Morocco,MAR,8,2026-06-06
C,Haiti,HAI,83,2026-06-06
C,Scotland,SCO,43,2026-06-06
D,United States,USA,16,2026-06-06
D,Paraguay,PAR,40,2026-06-06
D,Australia,AUS,27,2026-06-06
D,Türkiye,TUR,22,2026-06-06
E,Germany,GER,10,2026-06-06
E,Curaçao,CUW,82,2026-06-06
E,Côte d'Ivoire,CIV,34,2026-06-06
E,Ecuador,ECU,23,2026-06-06
F,Netherlands,NED,7,2026-06-06
F,Japan,JPN,18,2026-06-06
F,Sweden,SWE,38,2026-06-06
F,Tunisia,TUN,44,2026-06-06
G,Belgium,BEL,9,2026-06-06
G,Egypt,EGY,29,2026-06-06
G,IR Iran,IRN,21,2026-06-06
G,New Zealand,NZL,85,2026-06-06
H,Spain,ESP,2,2026-06-06
H,Cape Verde,CPV,69,2026-06-06
H,Saudi Arabia,KSA,61,2026-06-06
H,Uruguay,URU,17,2026-06-06
I,France,FRA,1,2026-06-06
I,Senegal,SEN,14,2026-06-06
I,Iraq,IRQ,57,2026-06-06
I,Norway,NOR,31,2026-06-06
J,Argentina,ARG,3,2026-06-06
J,Algeria(ALG),28,2026-06-06
J,Austria,AUT,24,2026-06-06
J,Jordan,JOR,63,2026-06-06
K,Portugal,POR,5,2026-06-06
K,DR Congo,COD,46,2026-06-06
K,Uzbekistan,UZB,50,2026-06-06
K,Colombia,COL,13,2026-06-06
L,England,ENG,4,2026-06-06
L,Croatia,CRO,11,2026-06-06
L,Ghana,GHA,74,2026-06-06
L,Panama,PAN,33,2026-06-06
