team,group,played,wins,draws,losses,goals_for,goals_against,difference,points
Mexico,A,0,0,0,0,0,0,0,0
South Africa,A,0,0,0,0,0,0,0,0
South Korea,A,0,0,0,0,0,0,0,0
Czechia,A,0,0,0,0,0,0,0,0
Canada,B,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,B,0,0,0,0,0,0,0,0
Qatar,B,0,0,0,0,0,0,0,0
Switzerland,B,0,0,0,0,0,0,0,0
Brazil,C,0,0,0,0,0,0,0,0
Morocco,C,0,0,0,0,0,0,0,0
Haiti,C,0,0,0,0,0,0,0,0
Scotland,C,0,0,0,0,0,0,0,0
USA,D,0,0,0,0,0,0,0,0
Australia,D,0,0,0,0,0,0,0,0
Paraguay,D,0,0,0,0,0,0,0,0
Turkiye,D,0,0,0,0,0,0,0,0
Germany,E,0,0,0,0,0,0,0,0
Curaçao,E,0,0,0,0,0,0,0,0
Cote d'Ivoire,E,0,0,0,0,0,0,0,0
Ecuador,E,0,0,0,0,0,0,0,0
Sweden,F,0,0,0,0,0,0,0,0
Tunisia,F,0,0,0,0,0,0,0,0
Netherlands,F,0,0,0,0,0,0,0,0
Japan,F,0,0,0,0,0,0,0,0
Belgium,G,0,0,0,0,0,0,0,0
Egypt,G,0,0,0,0,0,0,0,0
Iran,G,0,0,0,0,0,0,0,0
New Zealand,G,0,0,0,0,0,0,0,0
Spain,H,0,0,0,0,0,0,0,0
Cabo Verde,H,0,0,0,0,0,0,0,0
Saudi Arabia,H,0,0,0,0,0,0,0,0
Uruguay,H,0,0,0,0,0,0,0,0
France,I,0,0,0,0,0,0,0,0
Senegal,I,0,0,0,0,0,0,0,0
Iraq,I,0,0,0,0,0,0,0,0
Norway,I,0,0,0,0,0,0,0,0
Argentina,J,0,0,0,0,0,0,0,0
Algeria,J,0,0,0,0,0,0,0,0
Austria,J,0,0,0,0,0,0,0,0
Jordan,J,0,0,0,0,0,0,0,0
Portugal,K,0,0,0,0,0,0,0,0
DR Congo,K,0,0,0,0,0,0,0,0
Uzbekistan,K,0,0,0,0,0,0,0,0
Colombia,K,0,0,0,0,0,0,0,0
England,L,0,0,0,0,0,0,0,0
Croatia,L,0,0,0,0,0,0,0,0
Ghana,L,0,0,0,0,0,0,0,0
Panama,L,0,0,0,0,0,0,0,0
