group,team,position_group,player
A,Mexico,Goalkeeper,Raul Rangel
A,Mexico,Goalkeeper,Guillermo Ochoa
A,Mexico,Goalkeeper,Carlos Acevedo
A,Mexico,Defender,Jorge Sanchez
A,Mexico,Defender,Israel Reyes
A,Mexico,Defender,Cesar Montes
A,Mexico,Defender,Johan Vasquez
A,Mexico,Defender,Jesus Gallardo
A,Mexico,Defender,Mateo Chavez
A,Mexico,Midfielder,Erik Lira
A,Mexico,Midfielder,Orbelin Pineda
A,Mexico,Midfielder,Alvaro Fidalgo
A,Mexico,Midfielder,Brian Gutierrez
A,Mexico,Midfielder,Luis Romo
A,Mexico,Midfielder,Edson Alvarez
A,Mexico,Midfielder,Obed Vargas
A,Mexico,Midfielder,Gilberto Mora
A,Mexico,Midfielder,Luis Chavez
A,Mexico,Forward,Roberto Alvarado
A,Mexico,Forward,Cesar Huerta
A,Mexico,Forward,Alexis Vega
A,Mexico,Forward,Julian Quinones
A,Mexico,Forward,Guillermo Martinez
A,Mexico,Forward,Armando Gonzalez
A,Mexico,Forward,Santiago Gimenez
A,Mexico,Forward,Raul Jimenez
A,South Africa,Goalkeeper,Ronwen Williams
A,South Africa,Goalkeeper,Ricardo Goss
A,South Africa,Goalkeeper,Sipho Chaine
A,South Africa,Defender,Khuliso Mudau
A,South Africa,Defender,Aubrey Modiba
A,South Africa,Defender,Khulumani Ndamane
A,South Africa,Defender,Olwethu Makhanya
A,South Africa,Defender,Bradley Cross
A,South Africa,Defender,Thabang Matuludi
A,South Africa,Defender,Nkosinathi Sibisi
A,South Africa,Defender,Kamogelo Sebelebele
A,South Africa,Defender,Ime Okon
A,South Africa,Defender,Samukele Kabini
A,South Africa,Defender,Mbekezeli Mbokazi
A,South Africa,Midfielder,Teboho Mokoena
A,South Africa,Midfielder,Jayden Adams
A,South Africa,Midfielder,Thalente Mbatha
A,South Africa,Midfielder,Sphephelo Sithole
A,South Africa,Forward,Oswin Appollis
A,South Africa,Forward,Tshepang Moremi
A,South Africa,Forward,Evidence Makgopa
A,South Africa,Forward,Relebohile Mofokeng
A,South Africa,Forward,Lyle Foster
A,South Africa,Forward,Iqraam Rayners
A,South Africa,Forward,Themba Zwane
A,South Africa,Forward,Thapelo Maseko
A,Korea Republic,Goalkeeper,Kim Seung-gyu
A,Korea Republic,Goalkeeper,Song Bum-keun
A,Korea Republic,Goalkeeper,Jo Hyeon-woo
A,Korea Republic,Defender,Kim Moon-hwan
A,Korea Republic,Defender,Kim Min-jae
A,Korea Republic,Defender,Kim Tae-hyeon
A,Korea Republic,Defender,Park Jin-seop
A,Korea Republic,Defender,Seol Young-woo
A,Korea Republic,Defender,Jens Castrop
A,Korea Republic,Defender,Lee Ki-hyeok
A,Korea Republic,Defender,Lee Tae-seok
A,Korea Republic,Defender,Lee Han-beom
